"code","name","street_1","street_2","city","postcode","email"
"Y03214","OLD QUEEN STREET","2-4 OLD QUEEN STREET","","LONDON","SW1H 9HP",NULL
"Y03212","HMP WANDSWORTH","PO BOX 757, HEATHFIELD RD","WANSDSWORTH","LONDON","SW18 3HS",NULL
"Y03211","31 WARDOUR STREET","","SOHO","LONDON","W1D 6PT",NULL
"Y03201","WALDRON HEALTH CENTRE","STANLEY STREET","","LONDON","SE8 4BG",NULL
"Y03168","ST PANCRAS HOSPITAL","4 ST PANCRAS WAY","CAMDEN","LONDON","NW1 0PE",NULL
"Y03161","410 LEWISHAM HIGH STREET","","LEWISHAM","LONDON","SE13 6LZ",NULL
"Y03135","96 UMFREVILLE ROAD","","","LONDON","N4 1TL",NULL
"Y03127","CROWN DALE MEDICAL CENTRE","61 CROWN DALE","","LONDON","SE19 3NY",NULL
"Y03109","HARNESS & WILLESDEN GYNAE","ROBSON AVENUE","","LONDON","NW10 3RY",NULL
"Y03107","MANOR BROOK HEALTH CENTRE","117 BROOK LANE","BLACKHEATH","LONDON","SE3 0EN",NULL
"Y03106","821 WOOLWICH ROAD","","CHARLTON","LONDON","SE7 8LJ",NULL
"Y03103","264 PENTONVILLE ROAD","","","LONDON","N1 9JY",NULL
"Y03094","SENDALL COURT CAR PARK","GRANT ROAD","CLAPHAM JUNCTION","LONDON","SW11 2HE",NULL
"Y03086","121 WESTFERRY ROAD","","","LONDON","E14 8JH",NULL
"Y03084","22 SKYLINES VILLAGE","LIMEHARBOUR,DOCKLANDS","","LONDON","E14 9TS",NULL
"Y03077","ST CHARLES HOSPITAL","EXMOOR STREET","","LONDON","W10 6DZ",NULL
"Y03065","HORNSEY CENTRAL N/HOOD HC","151 PARK ROAD","","LONDON","N8 8JD",NULL
"Y03064","THE LAURELS N/HOOD PRACT","256 ST ANNS ROAD","","LONDON","N15 5AZ",NULL
"Y03063","HETHERINGTON AT PAVILION","9 BRIGHTON TERRACE","","LONDON","SW9 8DJ",NULL
"Y03049","SPRINGFIELD HEALTH CENTRE","19-21 OLDHILL STREET","STAMFORD HILL","LONDON","N16 6LD",NULL
"Y03047","WIC,1-3 BIRCHDOWN HOUSE","DEVONS ROAD","","LONDON","E3 3NS",NULL
