"code","name"
"ARF","ARF"
"death","Death"
"diabetic","Renal/Diabetic"
"filtration","Filtration"
"HD_home","Home HD"
"HD_unit","Unit HD"
"HD_ward","HD Ward"
"HD_holiday","Holiday Patient"
"lowclear","Low Clearance"
"medical","Medical"
"nephrology","Nephrology"
"other","Other"
"PD_APD","PD-APD"
"PD_CAPD","PD-CAPD"
"PD_rest_HD","PD Rest on HD"
"referral","Referral"
"transferout","Transfer Out"
"Tx_first","First year Tx"
"livedonor","Live Donor"
"Tx_subs","Sub Year Tx"
"HD_ARF","HD-ARF"
"sharedcare","Shared Care"
"PD_assistedAPD","PD-Assisted APD"
"PD_prePD","PD-PrePD"
"heartfailure","Heart Failure"
