"name","rr02_description","rr02_code","rr41_description","rr41_code"
"Radial cephalic fistula","Arteriovenous fistula","AVF","Radio-cephalic wrist","RC"
"Radial Basilic fistula","Arteriovenous fistula","AVF","Radio-cephalic wrist","RC"
"Brachial Cephalic fistula","Arteriovenous fistula","AVF","Brachio-cephalic","BC"
"Brachial Basilic fistula","Arteriovenous fistula","AVF","Brachio-basilic","BB"
"Brachial Brachial fistula","Arteriovenous fistula","AVF","Brachio-basilic","BB"
"Basilic vein transposition","","","",""
"Brachial vein transposition","","","",""
"Cephalic vein transposition","","","",""
"Radial cephalic PTFE graft","Arteriovenous graft","AVG","Radio-cephalic wrist","RC"
"Radial basilic PTFE graft","Arteriovenous graft","AVG","Forearm NOS","UF"
"Brachial axillary PTFE graft","Arteriovenous graft","AVG","Brachio-basilic","BB"
"Axillary axillary PTFE graft","Arteriovenous graft","AVG","Other","UO"
"Axillary axillary cross-over PTFE Graft","Arteriovenous graft","AVG","Other","UO"
"CFA CFV PTFE graft","Arteriovenous graft","AVG","Other","UO"
"SFA CFV PTFE Graft","Arteriovenous graft","AVG","Other","UO"
"Popliteal CFV PTFE Graft","Arteriovenous graft","AVG","Popliteal-long saphenous","PS"
"Vein patch angioplasty","","","",""
"PTFE Jump graft","Arteriovenous graft","AVG","Other","UO"
"AVF Pseudoaneurysm repair","","","",""
"AVF Aneurysm excision","","","",""
"AVF Aneurysm exclusion + bypass graft","","","",""
"Aneurysmorrhaphy","","","",""
"DRIL","","","",""
"PAI","","","",""
"Banding","","","",""
"Tenckhoff Insertion (GA)Open","PD catheter","PDC","",""
"Tenckhoff Insertion (GA) Open Buried","PD Embedded Catheter","PDE","",""
"Tenckhoff Insertion (GA) Laparoscopic","PD catheter","PDC","",""
"Tenckhoff Insertion (GA) Laparoscopic Buried","PD Embedded Catheter","PDE","",""
"Tenckhoff Insertion (LA)","PD catheter","PDC","",""
"Tenckhoff Insertion (LA) Buried","PD Embedded Catheter","PDE","",""
"Tenckhoff Removal (GA)","","","",""
"Tenckhoff Removal (LA)","","","",""
"Tenckhoff Reposition (GA) Open","PD catheter","PDC","",""
"Tenckhoff Reposition (GA) Laparoscopic","PD catheter","PDC","",""
"Tenckhoff Reposition (LA)","PD catheter","PDC","",""
"Tenckhoff New Exit Site (LA)","","","",""
"Tenckhoff Removal & Re-Insertion (GA) Open","PD catheter","PDC","",""
"Tenckhoff Removal & Re-Insertion (GA)Laparoscopic","PD catheter","PDC","",""
"Tenckhoff Removal & Re-Insertion (LA)","PD catheter","PDC","",""
"Vascath int jug","Non-tunnelled line","NLN","Internal jugular line","LJ"
"Vascath subclav","Non-tunnelled line","NLN","Subclavian line","LS"
"Vascath fem","Non-tunnelled line","NLN","Femoral vein line","LF"
"Tunnelled int jug","Tunnelled line","TLN","Internal jugular line","LJ"
"Tunnelled subclav","Tunnelled line","TLN","Subclavian line","LS"
"Tunnelled fem","Tunnelled line","TLN","Femoral vein line","LF"
"Renal Biopsy Native","","","",""
"Renal Biopsy Transplant","","","",""
