code,virtual_medical_product_code,trade_family_code
100011000001108,35928311000001101,9277801000001102
10031111000001105,9843711000001109,9390201000001101
10036611000001109,10052111000001104,9528901000001104
10037511000001107,10051911000001107,9452501000001102
10038811000001109,10050811000001105,9575101000001107
10048011000001104,10051011000001108,9641701000001100
10053611000001102,424692003,9506701000001107
10056711000001104,10063811000001109,9258001000001108
10061211000001109,7640711000001100,9653201000001109
10065611000001109,321951005,9317001000001109
10066511000001103,332745002,9582101000001108
10068111000001106,10075411000001104,9345701000001105
10070311000001104,35893311000001105,9226401000001100
10070411000001106,35893411000001103,9226401000001100
10070811000001108,395522003,9394701000001102
10072211000001108,327042009,9362501000001104
10073011000001107,10075611000001101,9339901000001108
10073911000001106,35912111000001105,12756001000001106
10074411000001100,35912711000001106,12756001000001106
10074611000001102,35912411000001100,12756001000001106
10093011000001101,36061811000001100,9528101000001102
10093311000001103,10097211000001102,9211301000001105
101011000001104,35916011000001108,9226801000001103
10120511000001101,7317511000001108,9570501000001108
101211000001109,39733611000001104,9339301000001107
10127311000001108,35935811000001103,9529001000001109
10128311000001109,35935911000001108,9529001000001109
10128911000001105,35936011000001100,9529001000001109
10129411000001105,10142111000001106,9529001000001109
10129911000001102,10143511000001109,9529001000001109
10130111000001108,7594711000001109,9477601000001102
10132111000001107,10140811000001100,9452001000001106
10132411000001102,407850007,9393901000001102
10133011000001102,10142311000001108,9322201000001105
10135211000001106,10135011000001101,9632401000001102
10135611000001108,10135411000001105,9632401000001102
10136011000001105,10135811000001107,9632401000001102
10136311000001108,10142211000001100,9552701000001100
10137311000001106,4283411000001104,9653101000001102
10139611000001106,10141011000001102,9653101000001102
10140111000001107,10140911000001105,9249601000001108
101411000001108,377211005,9216301000001101
10152411000001103,10156711000001108,9644001000001104
10154511000001109,419015002,9326701000001103
10160611000001106,10160411000001108,9632501000001103
10160911000001100,10161111000001109,9632501000001103
101611000001106,3547711000001101,9643701000001104
10161911000001107,10161711000001105,9269201000001104
10162411000001109,7594711000001109,9272801000001100
10164211000001101,10190411000001105,9344801000001102
10168011000001102,10190011000001101,9618601000001106
10170811000001104,38754011000001109,9553301000001105
101711000001102,321886006,9356501000001105
10186811000001105,38754011000001109,9359501000001104
10187011000001101,38754011000001109,9352501000001109
10187311000001103,10190611000001108,9388001000001108
10187611000001108,7565811000001103,9337901000001100
10188711000001103,38754011000001109,9303501000001108
10188911000001101,38754011000001109,9297501000001106
10189111000001106,39111711000001105,9542001000001104
10189311000001108,39022611000001105,9542001000001104
10192611000001109,333020002,9347901000001101
10194711000001105,38754011000001109,9262201000001108
10194911000001107,329683004,9345601000001100
10197311000001102,10197111000001104,9631701000001101
10198711000001102,10225911000001102,9396601000001102
10199211000001104,10228011000001109,9286601000001109
10218811000001107,10225111000001100,9560101000001107
10220811000001101,10226111000001106,9226101000001106
10222111000001107,3395011000001101,9673601000001108
10222311000001109,3394811000001106,9654401000001106
10222611000001104,3394811000001106,9654401000001106
10222811000001100,3394811000001106,9654401000001106
10223011000001102,3394811000001106,9654401000001106
10223211000001107,3394811000001106,9654401000001106
10223411000001106,3394811000001106,9654401000001106
10223611000001109,3394811000001106,9654401000001106
10223811000001108,3394811000001106,9654401000001106
10228111000001105,35920311000001103,9525701000001109
10228311000001107,35920611000001108,9525701000001109
10228511000001101,35920811000001107,9525701000001109
10229711000001102,4262811000001107,9222601000001103
10230411000001101,10246611000001100,9522501000001105
10231211000001106,10245211000001108,10374501000001104
10238711000001109,10238511000001104,9325801000001103
10239111000001101,10238911000001106,9325801000001103
10239611000001109,10245111000001102,9282301000001102
10241311000001102,318604001,9246001000001107
10241511000001108,318605000,9246001000001107
10244911000001103,10244711000001100,9195801000001100
10247111000001106,10246911000001106,9274901000001101
10247511000001102,10247311000001108,9274901000001101
10250211000001101,38896911000001108,12759801000001106
10256911000001108,10256611000001102,9296601000001108
10261511000001103,409184002,9288101000001101
10261811000001100,10270711000001105,9288101000001101
10264711000001106,375770003,9241101000001103
10266511000001107,3462411000001108,9744301000001108
10268311000001102,39716211000001101,9226001000001105
10269011000001105,10270511000001100,9621201000001106
10269411000001101,7565811000001103,9286201000001107
102711000001109,325328008,9528501000001107
10271211000001109,10280311000001102,9374001000001105
10276311000001109,325609008,9241701000001102
10276611000001104,325546003,9220501000001103
10277411000001100,10280511000001108,9556701000001101
10277611000001102,37082911000001103,9688401000001105
10278211000001100,10280411000001109,9620001000001105
10278411000001101,10280411000001109,9620001000001105
102811000001101,39024611000001102,9578801000001109
10283311000001108,323855005,9522101000001100
10284411000001103,39020611000001109,9473501000001107
10284611000001100,39020511000001105,9473501000001107
10303511000001108,10303311000001102,9454601000001107
10304011000001103,10309411000001106,9296401000001105
10304511000001106,10309311000001104,9623601000001107
10306411000001104,10309511000001105,9485101000001108
10306611000001101,10309511000001105,9507501000001104
10316911000001105,7525511000001105,9674601000001106
10320411000001108,10328811000001108,9269101000001106
10321011000001108,10328711000001100,9374701000001107
10321611000001101,10328311000001104,9622101000001105
10322711000001103,10328411000001106,9395701000001103
10323311000001107,10196911000001104,9395601000001108
