"code","name"
"385048003","Cachet"
"32356811000001101","Chewable capsule"
"385115001","Collodion"
"36104911000001101","Dispersion for infusion"
"34538111000001100","Dispersion for injection"
"17960711000001109","Ear/eye drops solution"
"17960811000001101","Ear/eye/nose drops solution"
"36407811000001103","Effervescent powder"
"21012211000001108","Intestinal gel"
"385087003","Lozenge"
"39574611000001104","Nebuliser dispersion"
"35313411000001100","Periodontal insert"
"385174007","Pessary"
"385117009","Poultice"
"38023711000001106","Powder for dispersion for infusion"
"37981811000001109","Powder for intravesical solution"
"21829711000001102","Powder for solution for iontophoresis"
"40113811000001101","Prolonged-release dispersion for injection"
"36713011000001106","Prolonged-release solution for injection"
"23670511000001101","Solution for cardioplegia"
"38871211000001101","Sublingual film"
"501931000001101","Transdermal system"
"15362911000001102","Vaginal delivery system"
"39572811000001106","12-hour modified-release capsule"
"39572911000001101","12-hour modified-release tablet"
"39573011000001109","24-hour modified-release capsule"
"39573111000001105","24-hour modified-release tablet"
"35367611000001109","Aerosol generator"
"35366811000001106","Bath additive"
"36407611000001102","Bladder irrigation"
"443424002","Buccal film"
"42551111000001101","Buccal liquid"
"385085006","Buccal tablet"
"41912611000001102","Cachet"
"385049006","Capsule"
"1231321009","Cement"
"42005711000001107","Chewable capsule"
"66076007","Chewable tablet"
"1231318007","Collodion"
"36407411000001100","Colloidal suspension for injection"
"37981711000001101","Concentrate and solvent for solution for injection"
"19276111000001108","Concentrate for oral solution"
"385099005","Cream"
"421628006","Cutaneous cream"
"385111005","Cutaneous emulsion"
"385103000","Cutaneous foam"
"421949005","Cutaneous gel"
"42550611000001104","Cutaneous irrigation solution"
"42552011000001105","Cutaneous liquid"
"425753008","Cutaneous ointment"
"42551011000001102","Cutaneous or ear solution"
"42551211000001107","Cutaneous or inhalation liquid"
"42550711000001108","Cutaneous or intravesical irrigation solution"
"41627611000001108","Cutaneous or nasal ointment"
"42551311000001104","Cutaneous or oromucosal liquid"
"3095111000001104","Cutaneous paint"
"385102005","Cutaneous paste"
"764485007","Cutaneous patch"
"385112003","Cutaneous powder"
"385108009","Cutaneous solution"
"385119007","Cutaneous sponge"
"385106008","Cutaneous spray solution"
"3097511000001104","Cutaneous wash"
"385088008","Dental gel"
"385090009","Dental insert"
"42551411000001106","Dental liquid"
"763445009","Dental paste"
"385095004","Dental suspension"
"421366001","Dispersible tablet"
"1230184003","Dispersion for infusion"
"1230185002","Dispersion for injection"
"426684005","Drops"
"385136004","Ear drops"
"385135000","Ear ointment"
"385139006","Ear powder"
"765163001","Ear/eye drops solution"
"765164007","Ear/eye/nose drops solution"
"385044001","Effervescent granules"
"1230336000","Effervescent powder"
"41599011000001106","Effervescent powder and powder for oral suspension"
"41598911000001102","Effervescent powder and suspension for oral suspension"
"764780001","Effervescent tablet"
"385179002","Effervescent vaginal tablet"
"15647811000001107","Emulsion and suspension for emulsion for injection"
"765367006","Emulsion for infusion"
"385221006","Emulsion for injection"
"42551511000001105","Endocervical solution"
"13299601000001101","Enema"
"4751611000001101","Epidural infusion"
"385124005","Eye drops"
"385122009","Eye gel"
"501831000001108","Eye lotion"
"385123004","Eye ointment"
"421166008","Foam"
"385065007","Gargle"
"34012811000001100","Gas and solvent for dispersion for injection/infusion"
"385052003","Gastro-resistant capsule"
"385045000","Gastro-resistant granules"
"385059007","Gastro-resistant tablet"
"35367711000001100","Gastroenteral liquid"
"42552311000001108","Gastroenteral or oral liquid"
"385100002","Gel"
"763446005","Gel for injection"
"385043007","Granules"
"41625711000001105","Granules for gastroenteral or oral suspension"
"41623311000001105","Granules for intrauterine suspension"
"1209112001","Granules for oral or rectal suspension"
"385028005","Granules for oral solution"
