"code","name"
"10368211000001101","component"
"10368511000001103","mega unit/ml"
"10691711000001108","g/dose"
"10691811000001100","mg/dose"
"10691911000001105","microgram/dose"
"10692011000001103","unit/dose"
"10692211000001108","application"
"10692311000001100","g/application"
"10692411000001107","mg/application"
"10692511000001106","tuberculin units/ML"
"10692611000001105","cigarette"
"10692711000001101","gram/gram"
"10692811000001109","month supply"
"10692911000001104","week supply"
"10693011000001107","SQ-T"
"10693111000001108","HEP"
"10693211000001102","Cell"
"10693611000001100","drop"
"10693711000001109","unit/drop"
"10693811000001101","leech"
"10693911000001106","teragenome copies"
"10694011000001109","teragenome copies/ml"
"10695511000001100","cell/square cm"
"10695611000001101","cell/ml"
"10695711000001105","million plaque forming units"
"10695811000001102","million plaque forming units/ml"
"10695911000001107","plaque forming units"
"10696011000001104","plaque forming units/ml"
"10696111000001103","elastomeric device"
"10696211000001109","vector genome"
"10696511000001107","elastomeric device/ml"
"10696611000001106","vector genome/ml"
"10696711000001102","tera vector genome"
"10696811000001105","tera vector genome/ml"
"10696911000001100","scoop"
"10697011000001101","dose step"
"10697111000001100","SQ-U"
"10697211000001106","SQ-U/ml"
"10697411000001105","ampoule-pair"
"10697511000001109","SQ-Bet"
"10697611000001108","%v/v"
"10697711000001104","%w/v"
"10697811000001107","giga vector genome"
"10697911000001102","giga vector genome/ml"
"10698011000001100","million colony forming units"
"10698111000001104","million colony forming units/ml"
"229034000","MBq"
"258669008","m"
"258672001","cm"
"258673006","mm"
"258682000","gram"
"258683005","kg"
"258684004","mg"
"258685003","microgram"
"258686002","nanogram"
"258702006","hour"
"258718000","mmol"
"258719008","micromol"
"258731005","ppm"
"258770004","litre"
"258773002","ml"
"258774008","microlitre"
"258794004","g/l"
"258796002","mg/l"
"258798001","mg/ml"
"258801007","microgram/ml"
"258802000","microgram/g"
"258806002","nanogram/ml"
"258812007","mol/l"
"258813002","mmol/litre"
"258836006","mg/24 hours"
"258838007","microgram/hour"
"258840002","microgram/24 hours"
"258878000","cell/microlitre"
"258948008","unit/ml"
"258997004","iu"
"259002007","iu/ml"
"259022006","square cm"
"282113003","nanolitre"
"282143001","kBq"
"3314211000001106","no value"
"3314511000001109","%w/w"
"3314611000001108","%v/w"
"3315911000001103","ml/l"
"3316111000001107","molar"
"3316211000001101","obsolete-mM"
"3316311000001109","mmol/ml"
"3316811000001100","baguette"
"3317011000001109","carton"
"3317211000001104","cycle"
"3317411000001100","dose"
"3317611000001102","lancet"
"3317711000001106","loaf"
"3317911000001108","multipack"
"3318011000001105","nebule"
"3318111000001106","needle"
"3318211000001100","pack"
"3318311000001108","pastille"
"3318611000001103","pre-filled disposable injection"
"3318711000001107","device"
"3318811000001104","roll"
"3319011000001100","stocking"
"3319911000001101","catheter"
"3320111000001103","dressing"
"3320311000001101","suture"
"3320411000001108","truss"
"3321111000001109","pot"
"3321311000001106","pizza base"
"3321411000001104","piece"
"3321511000001100","glove"
"396163008","mg/kg"
"396169007","g/ml"
"396180007","ml/kg"
"408102007","unit dose"
"408104008","microgram/actuation"
"408105009","mg/actuation"
"408106005","unit/actuation"
"408107001","g/actuation"
"408162005","kg/l"
"408163000","iu/g"
"408164006","iu/mg"
"408165007","mega unit"
"408166008","mg/16 hours"
"408167004","mg/72 hours"
"408168009","mg/g"
"408169001","mg/mg"
"408170000","microgram/72 hours"
"411225003","Kallikrein inactivator unit"
"413516001","ampoule"
"414719002","micromol/ml"
"415758003","tuberculin unit"
"415784009","unit/gram"
"415818006","vial"
"417932008","nanolitre/ml"
"417962002","Kallikrein inactivator unit/ml"
"418042005","micrograms/square cm"
"418081005","kBq/ml"
"418261000","GBq/ml"
"418342002","microlitre/ml"
"418530008","tube"
"418830004","unit/mg"
"418931004","GBq"
"418948007","MBq/ml"
"419179001","kit"
"419346007","ml/ml"
"419672006","bottle"
"419691006","unit/square cm"
"419702001","patch"
"419805009","ml/gram"
"420401004","swab"
"421823004","pad"
"425565005","blister"
"426198001","dual dose sachet"
"427678004","disc"
"428003006","bar"
"428178003","cup"
"428639001","insert"
"428641000","capsule"
"428672001","bag"
"428673006","tablet"
"429308001","can"
"429587008","lozenge"
"430293001","suppository"
"700476008","enema"
"732980001","applicator"
"732981002","actuation"
"732988008","cartridge"
"732990009","container"
"732992001","cylinder"
"732995004","film"
"733007009","pessary"
"733008004","pillule"
"733010002","plaster"
"733012005","pouch"
"733013000","sachet"
"733015007","spoonful"
"733017004","straw"
"733018009","strip"
"733020007","syringe"
"733021006","system"
"767525000","unit"
"8083511000001107","mg/square cm"
"8088511000001103","microlitre/g"
"8090511000001102","larva"
"8091011000001101","generator"
"8091811000001107","bandage"
