"code","name","form_code","route_code","unit_dose_uom_code","unit_dose_form_size_uom_code","active_ingredient_strength_numerator_uom_code","virtual_therapeutic_moiety_code","atc_code"
"34023011000001108",Generic Amvisc 1.2% solution for intracameral injection 0.8ml pre-filled syringes,,,,,,,
"34158511000001102",Generic Aquagel lubricating jelly,,,,,,,
"34158611000001103",Generic Arthrum H 40mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34158811000001104",Generic Cathejell Lidocaine C,,,,,,,
"34159011000001100",Generic Elite lubricating jelly,,,,,,,
"34159111000001104",Generic Euflexxa 20mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34159211000001105",Generic Fermathron 20mg/2ml injection pre-filled syringes,"385219001","12130007",,,,,
"34159311000001102",Generic Hydro-Caine Gel,,,,,,,
"34159611000001107",Generic OptiLube Active CHG Free sterile lubricating jelly,,,,,,,
"34159711000001103",Generic OptiLube Active sterile lubricating jelly,,,,,,,
"34159811000001106",Generic OptiLube sterile lubricating jelly,,,,,,,
"33038211000001105",Generic Pliazon cream,,,,,,,
"34088611000001100",Generic DEKAs Plus softgels capsules,"420692007","26643006","428641000","428641000",,,n/a
"34088211000001102",Generic DEKAs Essential capsules,"420692007","26643006","428641000","428641000",,,n/a
"34088311000001105",Generic DEKAs Plus chewable tablets,"66076007","26643006","428673006","428673006",,,n/a
"34032311000001103",Generic Fortini Compact Multi Fibre liquid,"42552211000001100","26643006",,,,,V06
"34030211000001105",Generic Eucerin AntiREDNESS soothing care cream,"421628006","448598008",,,,,n/a
"34032411000001105",Generic Lucozade Energy Original oral solution,"385023001","26643006",,,,,n/a
"42270511000001108",Disulfiram 500mg tablets,"421026006","26643006","428673006","428673006","258684004","775664007",N07BB01
"34022911000001100",Acetylcysteine 200mg oral powder sachets sugar free,"385026009","26643006","733013000","733013000","258684004","774424007",R05CB01
"33999511000001100",Chlorhexidine gluconate 0.05% irrigation solution 1litre bags,"16605211000001107","3594011000001102","428672001","258770004","258685003","775164006",D08AC02
"33760411000001103",Generic Glucodrate oral powder 39g sachets,"385041009","26643006",,,,,n/a
"33760311000001105",Daclizumab 150mg/1ml solution for injection pre-filled disposable devices,"385219001","34206005","3318611000001103","258773002","258684004","775435008",L04AC01
"33738711000001100",Alglucosidase alfa 1.3g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33739111000001108",Alglucosidase alfa 1.35g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33739511000001104",Alglucosidase alfa 1.4g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33739911000001106",Alglucosidase alfa 1.5g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33740211000001105",Alglucosidase alfa 1.6g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33741011000001109",Alglucosidase alfa 1.7g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33741411000001100",Alglucosidase alfa 1.8g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33741811000001103",Alglucosidase alfa 1.9g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33742211000001106",Alglucosidase alfa 1.85g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33742611000001108",Alglucosidase alfa 2.1g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33742711000001104",Alglucosidase alfa 2g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33742811000001107",Alglucosidase alfa 2.2g/1litre infusion bags,"14964511000001102","47625008","428672001","258770004","258684004","777406004",A16AB07
"33733711000001106",Diclofenac 0.074% mouthwash sugar free,"70409003","372473007",,,"258684004","775563008",A01AD11
"33733811000001103",Dithranol 0.4% / Salicylic acid 2% / Emulsifying wax 25% in liquid paraffin to 100% ointment,"385101003","3594011000001102",,,"258684004","775667000",D05AC51
"33711911000001103",Alglucosidase alfa 800mg/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33713811000001107",Alglucosidase alfa 950mg/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
"33715011000001100",Alglucosidase alfa 1g/500ml infusion bags,"14964511000001102","47625008","428672001","258773002","258684004","777406004",A16AB07
