"code","name"
"774343008","5-Methoxypsoralen"
"772187006",Abacavir
"772188001",Abacavir + Lamivudine
"772196006",Abacavir + Lamivudine + Dolutegravir
"772197002",Abacavir + Lamivudine + Zidovudine
"774397008",Abatacept
"774398003",Abciximab
"774399006",Abemaciclib
"774401000",Abiraterone
"40164311000001106",Abrocitinib
"42778411000001102",Acacia
"774348004",Acacia + Starch + Tragacanth
"774402007",Acalabrutinib
"774403002",Acamprosate
"774404008",Acarbose
"774405009",Acebutolol
"774406005",Acebutolol + Hydrochlorothiazide
"774407001",Aceclofenac
"774408006",Acemetacin
"774409003",Acenocoumarol
"774412000",Acetarsol
"774413005",Acetazolamide
"774414004",Acetic acid
"774415003",Acetic acid + Honey + Squill
"774419009",Acetohydroxamic acid
"774421004",Acetone
"10604811000001100",Acetyl-L-carnitine
"774423001",Acetylcholine
"774424007",Acetylcysteine
"774425008",Aciclovir
"774426009",Acipimox
"774427000",Acitretin
"21021511000001105",Aclidinium bromide
"28367211000001102",Aclidinium bromide + Formoterol
"774431006",Acrivastine
"774434003",Activated charcoal
"774435002",Activated charcoal + Magnesium hydroxide
"774436001",Adalimumab
"774437005",Adapalene
"774438000",Adapalene + Benzoyl peroxide
"774439008",Adefovir
"774440005",Ademetionine
"774441009",Adenosine
"775784001",Adrenaline
"822958009",Afamelanotide
"774442002",Afatinib
"774443007",Aflibercept
"774444001",Agalsidase alfa
"774445000",Agalsidase beta
"774446004",Agomelatine
"417696007",Air gas
"22466911000001109",Ajmaline
"38715911000001100",Alanine
"774448003",Albendazole
"774449006",Albiglutide
"789265003",Albumin human
"781171001",Albutrepenonacog alfa
"774451005",Alclometasone
"774454002",Aldesleukin
"774456000",Aldioxa + Chloroxylenol
"781317003",Alectinib
"774458004",Alefacept
"774459007",Alemtuzumab
"774460002",Alendronic acid
"774461003",Alendronic acid + Colecalciferol
"774462005",Alexitol sodium
"774463000",Alfacalcidol
"774464006",Alfentanil
"774465007",Alfuzosin
"777406004",Alglucosidase alfa
"774470000",Alimemazine
"781356009",Alirocumab
"774471001",Aliskiren
"774475005",Alitretinoin
"774478007",Allantoin
"774481002",Allantoin + Lidocaine
"21202711000001109",Allicin
"774482009",Allopurinol
"774485006",Almond oil
"17845511000001105",Almond oil + Lanolin anhydrous
"774487003",Almotriptan
"421247004",Aloes + Podophyllum resin + Storax + Sumatra benzoin
"42778611000001104",Aloes + Sumatra benzoin
"774490009",Alogliptin
"1208565007",Alogliptin + Metformin
"774491008",Aloin
"788088000",Alpelisib
"774496003",Alpha tocopherol
"787971007",Alpha tocopherol + Selenium
"774498002",Alprazolam
"774499005",Alprostadil
"774500001",Alteplase
"774502009",Altretamine
"774503004",Alum
"785758004",Aluminium acetate
"774505006",Aluminium chloride
"31150811000001106",Aluminium chloride + Isopropyl alcohol
"774506007",Aluminium hydroxide
"421965006",Aluminium hydroxide + Dimeticone
"774517008",Aluminium hydroxide + Magnesium trisilicate
"774518003",Aluminium hydroxide + Simeticone
"774519006",Aluminium oxide
"422351001",Aluminium oxide + Magnesium hydroxide + Oxetacaine
"774521001",Aluminium sulfate
"774522008",Alverine
"34277711000001106",Alverine + Simeticone
"774525005",Amantadine
"422210001",Amaranth
"774527002",Ambrisentan
"774528007",Ambroxol
"774531008",Amfetamine + Dexamfetamine
"782984006",Amifampridine
"774533006",Amifostine
"774534000",Amikacin
"782421008",Amikacin liposomal
"774535004",Amiloride
"774537007",Amiloride + Bumetanide
"774538002",Amiloride + Cyclopenthiazide
"774539005",Amiloride + Furosemide
"774547005",Aminoglutethimide
"19843911000001105",Aminolevulinic acid hydrochloride
"774548000",Aminophylline
"774549008",Aminosalicylic acid
"774551007",Amiodarone
"774552000",Amisulpride
"774553005",Amitriptyline
"20448811000001100",Amitriptyline + Ketamine
"774555003",Amitriptyline + Perphenazine
"1162898009",Amivantamab
"774557006",Amlodipine
"774563002",Amlodipine + Valsartan
"774564008",Ammonia
"774565009",Ammonia + Ammonium bicarbonate
"42778011000001106",Ammonia + Eucalyptus oil
"421736005",Ammonium acetate
"774568006",Ammonium bicarbonate
"774569003",Ammonium bicarbonate + Ipecacuanha
"774570002",Ammonium bicarbonate + Ipecacuanha + Sodium bicarbonate
"774571003",Ammonium bicarbonate + Potassium iodide
"18047411000001107",Ammonium bromide + Potassium bromide + Sodium bromide
"774572005",Ammonium chloride
"774573000",Ammonium chloride + Caffeine
"774574006",Ammonium chloride + Diphenhydramine
"9715011000001100",Ammonium sulfate
"774579001",Amobarbital
"774580003",Amobarbital + Secobarbital
"774584007",Amorolfine
"774585008",Amoxapine
"774586009",Amoxicillin
"773378000",Amphotericin B
"10621311000001103",Amphotericin B (lipid formulation)
"773379008",Amphotericin B liposomal
"773381005",Amphotericin B phospholipid complex
"21202811000001101",Amphotericin B sodium cholesteryl sulfate complex
"774590006",Ampicillin
"774594002",Amprenavir
"774596000",Amsacrine
"774598004",Amyl nitrite
"774603007",Amylmetacresol
"774604001",Anagrelide
"774605000",Anakinra
"774606004",Anastrozole
"783692006",Andexanet alfa
"775598006",Androstanolone
"774609006",Angiotensin II
"774610001",Anidulafungin
"774611002",Anise oil
"774615006",Antazoline
"774616007",Antazoline + Xylometazoline
"229771000001101",Anthrax vaccine
"42638611000001105",Anti-D immunoglobulin
"10984011000001106",Anti-human T lymphocyte immunoglobulin (equine)
"774621005",Antimony
"777408003",Antithrombin alfa
"774622003",Antithrombin III
