"eventtype"
"Access clinic"
"Anaemia clinic"
"CAPD clinic"
"CAPD Nurses clinic"
"Counsellor Meeting"
"Dartford Outreach Clinic"
"Dietitians clinic"
"Email"
"General Nephrology Clinic"
"Haemodialysis clinic"
"Home Haemodialysis clinic"
"Iron clinic"
"Low Clearance clinic"
"MDM--Diabetes"
"MDM--Liver Renal Virology"
"MDM--Radiology"
"MDM--Renal Biopsy"
"MDM--Renal Sickle"
"Meeting with family"
"Physiotherapist"
"Plasma Exchange"
"Research visit"
"Result Review"
"Social Worker"
"Telephone call"
"Transplant clinic"
"Tx Coordination"
"Walk-in clinic"
"Ward round"
"Woolwich Outreach Clinic"
