"code","name"
"1019","CD10+CD19"
"10HY","10-Hydroxycarbazepine"
"11DO","11-Deoxycortisol"
"125D","1-25 Di-Hydroxy Vitamin D"
"138D","CD138+ cells expressing CD56"
"17HP","17-Hydroxyprogesterone"
"17OH","17 Hydroxyprogesterone"
"1903","CD19+CD103"
"1911","CD19+CD11c"
"1913","CD19+CD13"
"1920","CD19+CD20 Absolute"
"1923","CD19+CD123"
"1925","CD19+CD25"
"192D","% CD19+ CD20+ Lymphocytes"
"1933","CD19+CD33"
"1943","CD19+CD43"
"1CYT","Type I Cytokines"
"21HA","Anti 21-hydroxylase Ab"
"235A","TNCs GLY.A+ve"
"23DG","2,3 DPG assay"
"24AL","24hr Urine ALA Excretion"
"24CI","24hr Urine Citrate"
"24PB","24hr Urine PBG Excretion"
"24PO","24hr U. Tot. Porphyrin Exc"
"2PG","2 PGA assay"
"30HB","3-Hydroxybutyrate"
"325H","% of CD25+ T cells in specimen"
"3HLA","%CD3+ve expressing HLA-DR"
"3PG","3 PGA assay"
"48SP","CD4 / CD8 Spectratyping"
"4A8","CD4+CD8"
"5A19","CD5+CD19"
"6MAM","6-acetyl Morphine"
"6PGA","6PGD assay."
"A1CV","Alpha-1-antitrypsin CVS"
"A1FS","A1AT family study"
"A2V","Haemoglobin A2 variant"
"AAG","Hb elect.pH 6.0"
"AAP","Plasma Amino Acids"
"AAT","Alpha 1 Anti-Trypsin"
"AATG","Alpha-1-antitrypsin Genotyping"
"AAUT","Random Urine Amino Acids"
"ACAL","Adjusted Calcium"
"ACAN","Wet Prep Acanthocytes present"
"ACE","ACE"
"ACET","Acetazolamide"
"ACH","Anti Acetyl Choline recept Ab"
"ACHA","Acetyl cholinesterase assay."
"ACLG","Anti Cardiolipin Ab IgG"
"ACLM","Anti Cardiolipin Ab IgM"
"ACON","Antenatal confirmation"
"ACPR","ACTH Precursors"
"ACRA","U Alb/Creat Ratio"
"ACTD","ACTH"
"ACTH","ACTH"
"ADA","Adenosine deaminase"
"ADAM","ADAMTS13"
"ADEQ","CAPD Adequacy Test"
"ADH","Anti Diuretic Hormone"
"ADH1","5 adhesion molecules"
"ADIP","Adiponectin"
"ADMH","Additional Markers"
"ADR","Random Urine Adrenaline"
"ADRE","24hr Urine Adrenaline"
"ADRN","Anti Adrenal antibodies"
"ADRP","Plasma Adrenaline"
"AER","Albumin Excretion Rate"
"AF76","alpha-lactalbumin"
"AF77","beta-lactoglobulin"
"AF78","Casein"
"AFP","AFP"
"AGE","Age"
"AIR1","AIRE1 mutation analysis"
"AKA","Adenylate kinase"
"AKBR","Alkyl Bromides"
"AL","Serum Aluminium"
"AL1","Aminolaevulinic Acid (ALA)"
"ALA","Random Urine ALA"
"ALB","Albumin"
"ALBD","Albumin"
"ALCR","Random Urine ALA Excretion"
"ALD","Aldosterone"
"ALDA","Aldolase assay."
"ALP","Alk Phosph (ALP)"
"ALPI","Alk Phosph Isoenzyme"
"ALRR","Aldosterone / Renin"
"ALT","ALT"
"AMBP","Amyloid b protein"
"AMCR","Amfetamine Group (ratio)"
"AMCX","Amfetamine Confirmation"
"AMI","Amitryptiline"
"AMID","Amisulpride Dose"
"AMIO","Amiodarone"
"AMIP","Amisulpride"
"AMIX","Amisulpride (plasma)"
"AMK","Amikacin (Random)"
"AMKP","Amikacin (Peak)"
"AMKT","Amikacin (Trough)"
"AMM","Plasma Ammonia"
"AMP","Amfetamine"
"AMPI","Amfetamine Group Screen"
"AMPN","Amfetamine Group (numeric)"
"AMPO","Anti MPO Antibodies"
"AMPR","Amfetamine Isomer Ratio"
"AMSN","Amphiphysin"
"AMUR","Ammonium urate"
"AMY","Amylase"
"AMYI","Serum Amylase Isoenzymes"
"ANA","Anti Nuclear Abs"
"ANAP","Anti Nuclear antibodies Paedia"
"ANAX","ANA Titre"
"ANCA","ANCA"
"ANDR","Androgen Profile"
"ANDS","Androstenedione"
"ANG1","Angiotensin -I"
"ANG2","Angiotensin -II"
"ANTC","Antenatal Status Code"
"AP50","APTR 50/50 Correction"
"AP51","Complement Alt Pathway Funct"
"APCR","APC Resistance V"
"APTC","APTT (Control)"
"APTH","APTR (Heparin)"
"APTI","APTR Inhibitor screen"
"APTR","APTR"
"APTS","APTT (Test)"
"APTX","Previous APTR"
"AQP4","Anti Aquaporin 4"
"ARCH","Archive"
"ARID","Aripiprazole Dose"
"ARIX","Aripiprazole (plasma)"
"ARIZ","Aripiprazole"
"ARRA","Aldosterone / Renin Ratio"
"AS01","Alpha subunits 0 mins"
"AS02","Alpha subunits 20 mins"
"AS03","Alpha subunits 60 mins"
"ASBD","Alpha subunits"
"ASCR","Urine Arsenic/Creat ratio"
"ASM","Anti Smooth Muscle antibodies"
"ASMP","Smooth Muscle antibodies paed"
"ASMT","Smooth Muscle antibodies titre"
"AST","AST"
"ASU","Alpha Subunits"
"ASYN","Anti-Synthetase antibodies"
"AT3","Anti Thrombin III"
"AT3A","Anti Thrombin III Antigen"
"ATAZ","Atazanavir"
"ATG","Anti-Thyroglobulin Antibodies"
"ATNP","Atrial natriuretic peptide"
"ATPA","ATP assay"
"ATPT","ATP8B1 Gene Screen"
"ATYF","Atypical Lymphocytes Flag"
"B12","Vitamin B12"
"B27","HLA B27"
"B2GP","Beta 2 Glycoprotein 1 Abs"
"B2M","Beta 2 microglobulin conc"
"B49D","CD5+CD19+CD49d+"
"BA38","CD5+CD19+CD38+"
"BAC","Total Bile Acids"
"BACY","Acyl Carnitines (blood spot)"
"BARI","Barbiturates"
"BAS","Blood Arsenic"
"BASO","Basophils"
"BASX","Previous Basophils"
"BC%","B Cells %"
"BCC","B Cells Absolute Counts"
"BCD","Blood Cadmium"
"BCH","Blood Chromium"
"BDNA","DNA (Genetics)"
"BECR","Urine Beryllium/Creat ratio"
"BEND","B-Endorphin"
"BET9","Bethesda Anti IX"
"BETH","Bethesda Anti VIII Human"
"BETP","Bethesda Anti VIII Porcine"
"BEZI","Benzodiazepine Group"
"BEZN","Benzodiazepines (numeric)"
"BGLU","Blood Glucose"
"BHAM","HAV IgM"
"BHAT","HAV total Ab"
"BHBC","HBV core total Ab"
"BHBS","HBV surface Ab"
"BHCG","BHCG (molar pregnancy)"
"BHCV","HCV Ab"
"BHG","Blood Mercury"
"BIC","Bicarbonate"
"BIL","Total Bilirubin"
"BIL2","Urine Urobilinogen"
"BIOT","Biotinidase Activity"
"BLAF","?Blast Flag"
"BLAS","Blast Count"
"BM","Bone Marrow Report"
"BMAR","Bone Marrow Report"
"BMBL","Blast cells"
"BMCE","Cellularity"
"BMCO","Conclusion"
"BMDR","Consultant"
"BMER","Erythropoiesis"
"BMFH","Markers not performed"
"BMIP","Sideroblast iron"
"BMIR","Macrophage iron"
