"code","name","cfh_name"
"A","White - British","White"
"B","White - Irish","White"
"C","Other White background","White"
"D","Mixed - White and Black Caribbean","Black"
"E","Mixed - White and Black African","Black"
"F","Mixed - White and Asian","Asian"
"G","Other Mixed background","Other"
"H","Asian or Asian British - Indian","Asian"
"J","Asian or Asian British - Pakistani","Asian"
"K","Asian or Asian British - Bangladeshi","Asian"
"L","Other Asian background","Asian"
"M","Black Caribbean","Black"
"N","Black African","Black"
"P","Other Black background","Black"
"R","Chinese","Asian"
"S","Other ethnic background","Other"
"Z","Refused / Not stated","Unknown"
