"code","name"
"READ1","Acineobactor"
"READ2","Bacillis"
"READ3","Bacteroides"
"READ4","Campylobactor"
"READ5","Candida Albicans"
"READ6","Chryseomonas luteola"
"READ7","Citrobactor species"
"READ8","Coliforms"
"READ9","Corynebacterium"
"READ10","Diptheroids"
"READ11","E.Coli"
"READ12","Enterobacter"
"READ13","Enterococcus faecalis"
"READ14","Escherichia sp"
"READ15","Gram Neg rods"
"READ16","Gram Pos cocci"
"READ17","Gram Pos Rods"
"READ18","Klebsiella"
"READ19","Lactococcus"
"READ20","Lymphocytes"
"READ21","Morganella morganii"
"READ22","MRSA"
"READ23","pantoea species"
"READ24","Proteus"
"READ25","Pseudomonas"
"READ26","Pus +++"
"READ27","Pus cells"
"READ28","Pus cells no growth"
"READ29","Scanty Candida"
"READ30","Scanty Diptheroids"
"READ31","Scanty enterobacter"
"READ32","Scanty Escherichia vulneris"
"READ33","Staph aureus"
"READ34","Staph epi"
"READ35","Staph haemolyticus"
"READ36","Strep"
"READ37","Streptococcus mitis"
"READ38","Streptococcus salivarious"
"READ39","Streptococcus sp"
"READ40","Viradans Strep"
