"diagnosis","cohort"
"Adenine Phosphoribosyltransferase Deficiency (APRT-D)","APRT Deficiency"
"AH amyloidosis","MGRS"
"AHL amyloidosis","MGRS"
"AL amyloidosis","MGRS"
"Alport Syndrome Carrier - Female heterozygote for X-linked Alport Syndrome (COL4A5)","Alport"
"Alport Syndrome Carrier - Heterozygote for autosomal Alport Syndrome (COL4A3, COL4A4)","Alport"
"Alport Syndrome","Alport"
"Anti-Glomerular Basement Membrane Disease (Goodpastures)","Vasculitis"
"Atypical Haemolytic Uraemic Syndrome (aHUS)","aHUS"
"Autoimmune distal renal tubular acidosis","Tubulopathy"
"Autosomal recessive distal renal tubular acidosis","Tubulopathy"
"Autosomal recessive proximal renal tubular acidosis","Tubulopathy"
"Autosomal Dominant Polycystic Kidney Disease (ARPKD)","ADPKD"
"Autosomal Dominant Tubulointerstitial Kidney Disease (ADTKD)","ADPKD"
"Autosomal Recessive Polycystic Kidney Disease (ARPKD)","ARPKD/NPHP"
"Bartters Syndrome","Tubulopathy"
"BK Nephropathy","BK Nephropathy"
"C3 Glomerulopathy","MPGN"
"C3 glomerulonephritis with monoclonal gammopathy","MGRS"
"Calciphylaxis","Calciphylaxis"
"Crystalglobulinaemia","MGRS"
"Crystal-storing histiocytosis","MGRS"
"Cystinosis","Cystinosis"
"Cystinuria","Cystinuria"
"Dense Deposit Disease (DDD)","MPGN"
"Dent Disease","Dent & Lowe"
"Denys-Drash Syndrome","INS"
"Dominant hypophosphatemia with nephrolithiasis or osteoporosis","Tubulopathy"
"Drug induced Fanconi syndrome","Tubulopathy"
"Drug induced hypomagnesemia","Tubulopathy"
"Drug induced Nephrogenic Diabetes Insipidus","Tubulopathy"
"Epilepsy, Ataxia, Sensorineural deafness, Tubulopathy (EAST) Syndrome","Tubulopathy"
"Fabry Disease","Fabry"
"Familial Hypomagnesaemia with hypercalciuria and nephrocalcinosis","Tubulopathy"
"Familial primary hypomagnesemia with hypocalcuria","Tubulopathy"
"Familial primary hypomagnesemia with normocalcuria EGF","Tubulopathy"
"Familial renal glucosuria","Tubulopathy"
"Fanconi Renotubular syndrome 1 (FRTS1)","Tubulopathy"
"Fanconi Renotubular syndrome 2 (FRTS2)","Tubulopathy"
"Fanconi Renotubular syndrome 3 (FRTS3)","Tubulopathy"
"Fibrillary Glomerulonephritis","MGRS"
"Fibromuscular Dysplasia","Fibromuscular Dysplasia"
"Focal Segmental Glomerulosclerosis (FSGS)","INS"
"Generalized pseudohypoaldosteronism type 1","Tubulopathy"
"Giant Vessel Arteritis","Vasculitis"
"Gitelman Syndrome","Tubulopathy"
"Glomerulocystic Disease","HNF1b"
"Heavy metal induced Fanconi syndrome","Tubulopathy"
