qbl_code,txt_code,description
1,1,Haemodialysis
2,2,Haemofiltration
3,3,Haemodiafiltration
5,5,Ultrafiltration
110,110,Plamsmapharesis / Plasma exchange
11,11,CAPD
12,12,APD
20,20,Transplant ; Cadaver donor
78,78,Kidney Transplant ; Live donor
29,29,Kidney Transplant ; type unknown
30,30,Kidney Transplant failure
38,38,Patient transfer to another renal centre
72,72,Kidney Transplant Functioning
120,120,Patient - Transplant clinic follow up
81,81,Acute haemodialysis – ARF
82,82,Acute haemofiltration – ARF
83,83,Acute peritoneal dialysis – ARF
88,88,Acute Kidney Injury receiving RRT not by renal service
101,101,First assessment in Kidney Service
904,904,Patient - CKD-remote monitoring
903,903,Patient - CKD-clinic follow-up
902,902,Patient - CKD-advanced MDT clinic
900,900,Chronic Kidney Disease (not on RRT)
901,901,Patient - ESKD with no RRT
90,90,Patient – RRT stopped (with recovery of kidney function)
91,91,Patient – RRT stopped (without recovery of kidney function)
95,95,Patient - Discharged (no monitoring by kidney service)
