code,name,location,is_transplant_site,trust_name,trust_caption,info,host_site,abbrev,position
995,Unknown,Unknown,1,,,,,,0
999,Other,Other,1,,,,,,2
ABROAD,Non-UK,Non-UK,1,,,,,,3
QC001,Mount Royal Hospital,Montreal,1,,,,,MRH,99
SNC01,Aberdeen Royal Infirmary,Aberdeen,0,,,,,,99
SLC01,Monklands Hospital,Airdrie,0,,,,,,99
24027,Antrim Hospital,Antrim,0,,,,,,99
RQBAU,Ysbyty Gwynedd,Bangor,0,,,,,,99
RDDH0,Basildon Hospital,Basildon,0,,,,true,,99
2020,Belfast City Hospital,Belfast,1,,,,,,99
11023,Royal Belfast Hospital for Sick Children,Belfast,0,,,,,,99
7021,Ulster Hospital,Belfast,0,,,,,,99
RQ3,Birmingham Childrens Hospital,Birmingham,0,,,,,,99
RL7,Heartlands Hospital,Birmingham,0,,,,,,99
RRK02,Queen Elizabeth Hospital,Birmingham,1,,,,,,99
RAE05,St Lukes Hospital,Bradford,0,,,,,,99
RGU01,Royal Sussex County Hospital,Brighton,0,,,,,,99
RA723,Bristol Royal Hospital for Children,Bristol,0,,,,,,99
REE01,Southmead Hospital,Bristol,1,,,,,,99
RGT01,Addenbrookes Hospital,Cambridge,1,,,,,,99
RVVKC,Kent & Canterbury Hospital,Canterbury,0,,,,,,99
RWM51,Children's Kidney Centre - UHW,Cardiff,0,,,,,,99
RRBBV,University Hospital of Wales,Cardiff,1,,,,,,99
RLGAY,Cumberland Infirmary,Carlisle,0,,,,,,99
RAZ,St Helier Hospital,Carshalton,0,,,,,,99
RQ8L0,Broomfield Hospital,Chelmsford,0,,,,true,,99
RDEE4,Colchester General Hospital,Colchester,0,,,,,,99
RKB01,University Hospital Coventry & Warwick,Coventry,0,,,,,,99
RFPFG,Royal Derby Hospital,Derby,0,,,,,,99
RP5,Doncaster Royal Infirmary,Doncaster,0,,,,,,99
RBD01,Dorset County Hospital,Dorchester,0,,,,,,99
RNA03,Russells Hall Hospital,Dudley,0,,,,,,99
SYC02,Dumfries & Galloway Royal Infirmary,Dumfries,0,,,,,,99
STC01,Ninewells Hospital,Dundee,0,,,,,,99
SSC02,Royal Infirmary of Edinburgh,Edinburgh,1,,,,,,99
RH8,Royal Devon and Exeter Hospital,Exeter,0,,,,,,99
SGC04,Western Infirmary,Glasgow,1,,,,,,99
SGC02,Royal Hospital for Sick Children,Glasgow,0,,,,,,99
RH641,Gloucestershire Royal Hospital,Gloucester,0,,,,,,99
RF201,Hull Royal Infirmary,Hull,0,,,,,,99
SHC01,Raigmore Hospital,Inverness,0,,,,,,99
RGQ02,Ipswich Hospital,Ipswich,0,,,,,,99
SAC02,University Hospital Crosshouse,Kilmarnock,0,,,,,,99
SFC01,Victoria Hospital,Kirkcaldy,0,,,,,,99
99RQR13,Leeds Children's Hospital,Leeds,0,,,,,,99
RQR13,St James's University Hospital,Leeds,1,,,,,,99
RFBAK,Leicester General Hospital,Leicester,1,,,,,,99
RW402,Aintree University Hospital,Liverpool,0,,,,,,99
RBS25,Alder Hey Childrens Hospital,Liverpool,0,,,,,,99
