"code","name","unit_of_measurement","loinc_code","display_group","display_order","letter_group","letter_order","colour"
"125D","1-25 Di-Hydroxy Vitamin D",,"",,,,,
"138D","CD138+ cells expressing CD56",,"",,,,,
"6PGA","6PGD assay.",,"",,,,,
"A1CV","Alpha-1-antitrypsin CVS",,"",,,,,
"A2V","Haemoglobin A2 variant",,"",,,,,
"AAT","Alpha 1 Anti-Trypsin",,"",,,,,
"ACAL","Adjusted Calcium",,"",,,,,
"ACE","ACE",,"",,,,,
"ACLG","Anti Cardiolipin Ab IgG",,"",,,,,
"ACLM","Anti Cardiolipin Ab IgM",,"",,,,,
"ACPR","ACTH Precursors",,"",,,,,
"ACR","Urine Albumin: Creatinine Ratio",,"",2,14,,,
"ACRA","U Alb/Creat Ratio","mg/mmol","acr",,,,,
"ACTD","ACTH",,"",,,,,
"ACTH","ACTH",,"",,,,,
"ADAM","ADAMTS13",,"",,,,,
"ADEQ","CAPD Adequacy Test",,"",,,,,
"ADH","Anti Diuretic Hormone",,"",,,,,
"ADRE","24hr Urine Adrenaline",,"",,,,,
"ADRP","Plasma Adrenaline",,"",,,,,
"AER","Albumin Excretion Rate",,"",,,,,
"AF78","Casein",,"",,,,,
"AFP","AFP",,"",,,,,
"AGE","Age",,"",,,,,
"AL","Serum Aluminium",,"",3,18,,,
"ALA","Random Urine ALA",,"",,,,,
"ALB","Albumin",,"albumin",2,1,8,1,
"ALBD","Albumin",,"",,,,,
"ALD","Aldosterone",,"",,,,,
"ALP","Alk Phosph (ALP)","IU/L","alp",3,4,9,3,
"ALPI","Alk Phosph Isoenzyme",,"",,,,,
"ALRR","Aldosterone / Renin",,"",,,,,
"ALT","ALT",,"alt",3,2,,,
"AMBP","Amyloid b protein",,"",,,,,
"AMI","Amitryptiline",,"",,,,,
"AMIO","Amiodarone",,"",,,,,
"AMIP","Amisulpride",,"",,,,,
"AMIX","Amisulpride (plasma)",,"",,,,,
"AMK","Amikacin (Random)",,"",,,,,
"AMKP","Amikacin (Peak)",,"",,,,,
"AMKT","Amikacin (Trough)",,"",,,,,
"AMM","Plasma Ammonia",,"",,,,,
"AMPO","Anti MPO Antibodies",,"",,,,,
"AMUR","Ammonium urate",,"",,,,,
"AMY","Amylase",,"amy",,,,,
"AMYI","Serum Amylase Isoenzymes",,"",,,,,
