"name","event_class_name","category_name"
"Echo","Renalware::Heroic::Events::Echo","HEROIC Investigations"
"mGFR","Renalware::Heroic::Events::Mgfr","HEROIC Investigations"
"Retinal screen","Renalware::Heroic::Events::OctA","HEROIC Investigations"
"ECG","Renalware::Heroic::Events::Ecg","HEROIC Investigations"
"MRI","Renalware::Heroic::Events::Mri","HEROIC Investigations"
"Severe hypoglycaemic episode (requiring another person to help)","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Hyperglycaemia requiring hospital admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Retinopathy event_date","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Foot event_date","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Acute coronary syndrome requiring admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Heart failure/fluid overload requiring admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"CVA requiring admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"PAD/AAA requiring admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Acute kidney injury requiring admission","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Renal replacement therapy start","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Renal replacement therapy stop","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Death","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Adverse event: Renal Biopsy complication (requiring admission>12h)","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
"Adverse event: Renal biopsy complication (requiring a intervention)","Renalware::Heroic::Events::HeroicEvent","HEROIC Events"
