name,code
%v/v,10697611000001108
%v/w,3314611000001108
%w/v,10697711000001104
%w/w,3314511000001109
actuation,732981002
ampoule,413516001
ampoule-pair,10697411000001105
application,10692211000001108
applicator,732980001
bag,428672001
baguette,3316811000001100
bandage,8091811000001107
bar,428003006
blister,425565005
bottle,419672006
can,429308001
capsule,428641000
carton,3317011000001109
cartridge,732988008
catheter,3319911000001101
Cell,10693211000001102
cell/microlitre,258878000
cell/ml,10695611000001101
cell/square cm,10695511000001100
cigarette,10692611000001105
cm,258672001
component,10368211000001101
container,732990009
cup,428178003
cycle,3317211000001104
cylinder,732992001
device,3318711000001107
disc,427678004
dose,3317411000001100
dose step,10697011000001101
dressing,3320111000001103
drop,10693611000001100
dual dose sachet,426198001
elastomeric device,10696111000001103
elastomeric device/ml,10696511000001107
enema,700476008
film,732995004
g/actuation,408107001
g/application,10692311000001100
g/dose,10691711000001108
g/l,258794004
g/ml,396169007
GBq,418931004
GBq/ml,418261000
generator,8091011000001101
glove,3321511000001100
gram,258682000
gram/gram,10692711000001101
HEP,10693111000001108
hour,258702006
insert,428639001
iu,258997004
iu/g,408163000
iu/mg,408164006
iu/ml,259002007
Kallikrein inactivator unit,411225003
Kallikrein inactivator unit/ml,417962002
kBq,282143001
kBq/ml,418081005
kg,258683005
kg/l,408162005
kit,419179001
lancet,3317611000001102
larva,8090511000001102
leech,10693811000001101
litre,258770004
loaf,3317711000001106
lozenge,429587008
m,258669008
MBq,229034000
MBq/ml,418948007
mega unit,408165007
mega unit/ml,10368511000001103
mg,258684004
mg/16 hours,408166008
mg/24 hours,258836006
mg/72 hours,408167004
mg/actuation,408105009
mg/application,10692411000001107
mg/dose,10691811000001100
mg/g,408168009
mg/kg,396163008
mg/l,258796002
mg/mg,408169001
mg/ml,258798001
mg/square cm,8083511000001107
microgram,258685003
microgram/24 hours,258840002
microgram/72 hours,408170000
microgram/actuation,408104008
microgram/dose,10691911000001105
microgram/g,258802000
microgram/hour,258838007
microgram/ml,258801007
micrograms/square cm,418042005
microlitre,258774008
microlitre/g,8088511000001103
microlitre/ml,418342002
micromol,258719008
micromol/ml,414719002
million plaque forming units,10695711000001105
million plaque forming units/ml,10695811000001102
ml,258773002
ml/gram,419805009
ml/kg,396180007
ml/l,3315911000001103
ml/ml,419346007
mm,258673006
mmol,258718000
mmol/litre,258813002
mmol/ml,3316311000001109
mol/l,258812007
molar,3316111000001107
month supply,10692811000001109
multipack,3317911000001108
nanogram,258686002
nanogram/ml,258806002
nanolitre,282113003
nanolitre/ml,417932008
nebule,3318011000001105
needle,3318111000001106
no value,3314211000001106
obsolete-mM,3316211000001101
pack,3318211000001100
pad,421823004
pastille,3318311000001108
patch,419702001
pessary,733007009
piece,3321411000001104
pillule,733008004
pizza base,3321311000001106
plaque forming units,10695911000001107
plaque forming units/ml,10696011000001104
plaster,733010002
pot,3321111000001109
pouch,733012005
ppm,258731005
pre-filled disposable injection,3318611000001103
roll,3318811000001104
sachet,733013000
scoop,10696911000001100
spoonful,733015007
SQ-Bet,10697511000001109
SQ-T,10693011000001107
SQ-U,10697111000001100
SQ-U/ml,10697211000001106
square cm,259022006
stocking,3319011000001100
straw,733017004
strip,733018009
suppository,430293001
suture,3320311000001101
swab,420401004
syringe,733020007
system,733021006
tablet,428673006
tera vector genome,10696711000001102
tera vector genome/ml,10696811000001105
teragenome copies,10693911000001106
teragenome copies/ml,10694011000001109
truss,3320411000001108
tube,418530008
tuberculin unit,415758003
tuberculin units/ML,10692511000001106
unit,767525000
unit dose,408102007
unit/actuation,408106005
unit/dose,10692011000001103
unit/drop,10693711000001109
unit/gram,415784009
unit/mg,418830004
unit/ml,258948008
unit/square cm,419691006
vector genome,10696211000001109
vector genome/ml,10696611000001106
vial,415818006
week supply,10692911000001104
