code,name
441498004,5-Methoxypsoralen
116084008,Abacavir
413381000,Abacavir + Lamivudine
27653011000001108,Abacavir + Lamivudine + Dolutegravir
134571004,Abacavir + Lamivudine + Zidovudine
421412005,Abatacept
108974006,Abciximab
36196311000001105,Abemaciclib
19528811000001106,Abiraterone
40164311000001106,Abrocitinib
421546009,Acacia
420310008,Acacia + Starch + Tragacanth
38994711000001108,Acalabrutinib
420804003,Acamprosate
109077006,Acarbose
68088000,Acebutolol
398910009,Acebutolol + Hydrochlorothiazide
329923004,Aceclofenac
329906008,Acemetacin
79356008,Acenocoumarol
421639009,Acetarsol
33664007,Acetazolamide
326289007,Acetic acid
427289000,Acetic acid + Honey + Squill
74819009,Acetohydroxamic acid
333511003,Acetone
10604811000001100,Acetyl-L-carnitine
13525006,Acetylcholine
77731008,Acetylcysteine
41193000,Aciclovir
319982006,Acipimox
108914001,Acitretin
21021511000001105,Aclidinium bromide
28367211000001102,Aclidinium bromide + Formoterol
320813002,Acrivastine
398628008,Activated charcoal
420846007,Activated charcoal + Magnesium hydroxide
398728003,Adalimumab
108903004,Adapalene
442447008,Adapalene + Benzoyl peroxide
412073001,Adefovir
441671005,Ademetionine
108502004,Adenosine
65502005,Adrenaline
38726211000001108,Afamelanotide
703580004,Afatinib
21674911000001109,Aflibercept
423634009,Agalsidase alfa
391653003,Agalsidase beta
15516211000001106,Agomelatine
417696007,Air gas
22466911000001109,Ajmaline
38715911000001100,Alanine
96119002,Albendazole
703905003,Albiglutide
71731000001106,Albumin human
32816111000001104,Albutrepenonacog alfa
116570009,Alclometasone
108804009,Aldesleukin
420976004,Aldioxa + Chloroxylenol
34215011000001109,Alectinib
398857009,Alefacept
391632007,Alemtuzumab
421552005,Alendronic acid
421880004,Alendronic acid + Colecalciferol
421958003,Alexitol
329325000,Alfacalcidol
96183007,Alfentanil
349912006,Alfuzosin
420550007,Alglucosidase alfa
8109005,Alimemazine
30912811000001107,Alirocumab
427002003,Aliskiren
409488005,Alitretinoin
404834008,Allantoin
420574005,Allantoin + Lidocaine
21202711000001109,Allicin
25246002,Allopurinol
9811311000001101,Almond oil
17845511000001105,Almond oil + Lanolin anhydrous
134529000,Almotriptan
421247004,Aloes + Podophyllum resin + Storax + Sumatra benzoin
421834001,Aloes + Sumatra benzoin
23638511000001100,Alogliptin
23638611000001101,Alogliptin + Metformin
420581003,Aloin
38924711000001103,Alpelisib
9871311000001105,Alpha tocopherol
9872411000001108,Alpha tocopherol + Selenium
111127002,Alprazolam
109119001,Alprostadil
27638005,Alteplase
69879000,Altretamine
420871005,Alum
14022211000001106,Aluminium acetate
66860004,Aluminium chloride
31150811000001106,Aluminium chloride + Isopropyl alcohol
80399002,Aluminium hydroxide
421965006,Aluminium hydroxide + Dimeticone
423714001,Aluminium hydroxide + Magnesium trisilicate
417922001,Aluminium hydroxide + Simeticone
418673005,Aluminium oxide
422351001,Aluminium oxide + Magnesium hydroxide + Oxetacaine
400677004,Aluminium sulfate
349818006,Alverine
34277711000001106,Alverine + Simeticone
51361008,Amantadine
422210001,Amaranth
427735003,Ambrisentan
35016211000001107,Ambroxol
411098003,Amfetamine + Dexamfetamine
72181000001101,Amifampridine
108823002,Amifostine
48836000,Amikacin
39584311000001102,Amikacin liposomal
