name,code
100 M-Trate,1941000001107
200-SEL,92681000001100
4Head,9192001000001101
A-CYS,11466601000001100
A-Derma,13114301000001107
A-Derma Exomega,13114401000001104
A1 Cal-E,229931000001100
A1 Omega,482791000001104
A1-Cal,93551000001100
A1-Cal D3,93721000001100
A1-Cal D3 Max,94021000001100
AAA - brand name,9192101000001100
AabChlor,450561000001109
AabRibof,430181000001109
AaCarb,440321000001107
Aace D3,502181000001109
AaceCa,430331000001108
AaceCa D3,482281000001109
AacEdem,532481000001108
AaciGam,174371000001103
Aacomer,532491000001105
Aactigin,430191000001106
AactiMag,482471000001108
Aactive D3,174391000001104
Aactizinc,235521000001108
Aacufer,553081000001109
AacuLose,482191000001103
Aad K,2061000001102
AadFer,174331000001100
AadZinc,94391000001100
AaproMel,327781000001100
AaqEye Carmellose,327791000001103
AaqEye HA,94541000001100
Aargin,154371000001100
AascorbDose,225331000001102
Abasaglar,12608101000001108
Abasaglar KwikPen,12608001000001107
Abasaglar Tempo Pen,94441000001104
Abdine Cold Relief,10541401000001101
Abelcet,9193001000001106
Abidec Multivitamin,9193101000001107
Abilar,12617301000001107
Abilify,9193201000001100
Abilify Maintena,11979401000001104
Abraxane,9900301000001101
Abselen,92791000001108
Abstral,9900901000001100
Abtard,12615601000001109
Abtrim,9193301000001109
AC Vax,9192201000001107
Acarizax,174531000001106
Accofil,12457701000001103
Accolate,9193401000001101
Accrete D3,11074501000001107
Accrete D3 One a Day,13057001000001104
Accupro,9193501000001102
Accuretic,9193601000001103
Accusol 35,12753601000001105
Accusol 35 Potassium,12753501000001106
Acea,9193701000001108
AceCal D3,553091000001106
AceCil,13278601000001104
AceNAC,13119001000001105
AceNic,229291000001109
AceOmeg,133291000001106
Aceon,10981301000001109
Acepiro,94551000001102
Acepril,9193801000001104
AceTaur,229331000001104
Aceteff,13047901000001102
Acezide,9193901000001105
Achromycin,9194001000001108
Aci-Jel,9194101000001109
Acid-Eze,9194201000001102
Acidex,9194301000001106
Acidex Advance,12866001000001103
Aciferol D3,11376301000001106
Acitak,9194401000001103
Acitra,229371000001102
Aclasta,9194501000001104
Acnamino MR,9194601000001100
Acnecide,9194701000001105
Acnisal,9194801000001101
Acnocin,9194901000001107
ACo Q10,226871000001104
Acoflam,9195001000001107
Acoflam Retard,9195101000001108
Acoflam SR,9195201000001101
Acomplia,9195301000001105
Acondro,12091001000001107
