"id","name","count"
1430,"1-Alfacalcidol",6
1962,"1 alpha calcidol",253
1780,Abacavir LiQ,2
3,Abacavir Tablets,42
2211,Abiraterone acetate tablets,1
7,Acarbose Tablets,7
10,Acenocoumarol (Nicoumalone) Tablets,1
2189,Acetamide,3
11,Acetazolamide Capsules,13
21,Acetylcysteine Tablets,1
23,Aciclovir Cream 5%,2
24,Aciclovir Tablets,101
2122,Aciferol D3,2
28,Acitretin Capsules,51
2066,Acyclovir,20
1458,Adalat LA,15
3004,Adalat Retard,5
31,Adalimumab Injection,14
32,Adapalene 0.1% Gel (Differin),1
2124,Adcal-D3 ,2026
1355,Adcal-D3 Chewable Tablets,61
33,Adcal Tablets,110
1800,Adoport (Tacrolimus Immediate Release) Capsules,6
1794,Adoport (Tacrolimus) Capsules,47
10007,ADOPTION Study IMP (AZD1656 50mg or placebo),28
39,Adrenaline Injection,1
1803,Advagraf (Tacrolimus Modified Release) Capsules,92
2254,Agalsidase Alfa Infusion,1
2074,Agomelatine tablets,1
49,Alemtuzumab Injection,1
50,Alendronate Tablets,80
1489,Alendronic Acid,91
1827,Alendronic Acid Tablets,9
1906,Alfacalcidol,3471
51,Alfacalcidol Capsules,26279
53,Alfuzosin M/R Tablets,31
1525,Aliskiren,2
57,Allopurinol Tablets,1196
10013,alogliptin,10
1724,alphagan,2
62,Alphosyl 2 in 1 Shampoo,2
1859,Alprazolam,1
65,Alprostadil Injection,3
66,Alteplase Injection,11
2257,Altraplen Supplement,14
1365,Alucaps,12
69,Alverine Citrate Capsules,2
2248,Ambrisentan Tablets,1
72,Amikacin Injection,185
73,Amiloride Tablets,55
75,Aminophylline M/R Tablets (Phyllocontin),3
76,Amiodarone Tablets,50
1781,Amiprosol ,1
77,Amisulpride Tablets,13
78,Amitriptyline Tablets,499
1619,Amlodipine,5655
79,Amlodipine Tablets,28
82,Amorolfine 5% Nail Lacquer,1
83,Amoxicillin Capsules,25
2117,Anagrelide Capsules,1
89,Anastrozole Tablets,2
93,Anusol-HC Suppositories,1
92,Anusol Ointment,5
2138,Apixaban Tablets,336
95,Apraclonidine Eye Drops (Iopidine),7
99,Aqueous Cream,12
2167,Aranesp,27
358,Aranesp (Darbepoetin Alpha),303
1352,Aranesp Sureclick (Darbepoetin Alpha) Injection,2
1704,Aripiprazole,48
1981,Aripiprazole   ,5
2019,Artificial saliva Aerosol spray,2
1490,Asacol,3
10030,Ascorbic Acid,5
104,Ascorbic Acid Effervescent Tablets,6
10020,Aspirin (formulation unknown),500
2043,Aspirin 75 mg od,68
106,Aspirin Dispersible Tablets,1032
2097,Aspirin enteric coated,954
107,Aspirin Suppositories,36
108,Atazanavir Capsules,2
109,Atenolol Tablets,595
2161,Atorvastatin,4914
110,Atorvastatin Tablets,16
111,Atosiban Injection/Infusion,1
112,Atovaquone Liquid,3
114,Atropine 1% Eye Drops,4
1903,Atrovent,2
1578,Augmentin,28
2184,Aymes Complete (Dietary supplement),3
118,Azathioprine Tablets,4459
119,Azelastine Aqueous Nasal Spray (Rhinolast),1
120,Azithromycin Capsules/Tablets,28
121,Aztreonam Injection,2
2120,B12 Injection,11
123,Baclofen Tablets,11
131,Beclometasone Inhaler,37
1977,Beclomethasone (QVAR),16
1450,Beconase Nasal Inhaler,5
132,Bendrofluazide Tablets,106
1522,Bendroflumethiazide ,91
142,Benzydamine Oral Rinse (Difflam),4
143,Benzylpenicillin Injection,1
148,Betahistine Tablets,45
152,Betamethasone Tablets,2
153,Betamethasone Valerate Ointment,4
159,Betnovate-C Cream,3
1722,betnovate RD,1
1554,Bezafibrate MR,5
161,Bezafibrate Tablets,19
162,Bicalutamide Tablets,13
164,Bimatoprost Eye Drops,22
2083,Binocrit (Epoetin alfa),1
1840,Biopatch,3
165,Bisacodyl Tablets,90
167,Bisoprolol Tablets,4943
170,BM-Accutest Strips,1
2058,Bortezomib,3
2194,BRICANYL Turbohaler,3
175,Brimonidine 0.2% Eye Drops (Alphagan),8
1797,Brinzolamide Eye Drop 10mg/ml ,16
2231,Budesonide and Formoterol (Duoresp) Inhaler ,13
3011,Budesonide capsules,9
179,Budesonide Inhaler/Nebs,9
182,Bumetanide Tablets,542
185,Buprenorphine 200 Microgram S/L Tablets,1
1475,Buprenorphine Patch,54
1494,Buscopan,14
191,Buspirone Tablets,1
1678,BuTrans,23
194,Cabergoline Tablets,5
1572,Cacit D3,11
1521,Calceos,5
2061,Calceos 03,1
1397,Calcichew,259
1398,Calcichew D3,246
1399,Calcichew D3 Forte,292
1575,Calciforvit,1
201,Calcitriol Capsules,531
1358,Calcium Acetate (Phosex),593
1912,Calcium acetate (PhosLo),1
2212,Calcium Acetate (Renacet),9
2205,Calcium acetate tablet,105
202,Calcium Carbonate,69
204,Calcium Folinate Tablets,1
205,Calcium Gluconate Effervescent Tablets,1
207,Calcium Resonium Powder,1
1372,Calogen,25
3034,Canagliflozin Tablets,107
209,Candesartan Tablets,327
2165,Capsaicin cream,5
212,Captopril Tablets,4
214,Carbamazepine Tablets,46
216,Carbimazole Tablets,60
1946,Carbocisteine,78
1920,Carbocisteine Capsules,14
217,Carbocisteine Syrup,1
2121,Carbomer Eye Drops,6
222,Carmellose Sodium Eye Drops (Celluvisc),15
228,Carvedilol Tablets,94
230,Cefalexin Tablets/Suspension,128
231,Cefixime Tablets,1
235,Ceftazidime Injection,619
236,Ceftriaxone Injection,3
2199,Cefuroxime Tablets ,3
239,Celecoxib Capsules,1
1695,Celiprolol,1
240,Centrum Tablets,1
241,Cerazette Tablets,3
2240,Certraben Cream,1
244,Cetirizine Tablets,115
1905,Cetraben Cream,18
2242,Cetrizine,34
2094,Chemotherapy Agent ,1
258,Chlorhexidine Gluconate 4% Hand Rub (Hibiscrub),2
1604,Chlorhexidine Gluconate mouthwash (0.2%),1
260,Chloroquine Sulphate Tablets,1
262,Chlorphenamine (Chlorpheniramine),83
1990,Chlorpheniramine,14
263,Chlorpromazine Tablets,7
264,Chlortalidone Tablets,1
2084,Chlorthalidone Tablets,1
1754,Cholecalciferol,552
2119,Cholestyramine,10
267,Cholestyramine Light Sachets,2
3036,Ciclosporin (Sandimmun),166
3037,"Ciclosporin (Sandimmun, liquid)",3
3038,Ciclosporin (Trial IMP),13
3073,ciclosporin (unknown),1208
3039,Ciclosporin (Unknown),73
3040,"Ciclosporin (Unknown, liquid)",11
3001,Cilnidipine Tablets,2
273,Cimetidine Tablets,10
274,Cinacalcet Tablets,3159
275,Cinnarizine Tablets,4
276,Ciprofibrate Tablets,3
277,Ciprofloxacin Inj/Tabs,690
280,Citalopram Tablets,270
3074,Citralock A,856
3075,Citralock V,826
1644,Citrazine,2
285,Clarithromycin Tabs/Inj,9
2179,Clemastine,1
1583,Clenil Modulite Inhaler,77
1479,Clexane,14
287,Clindamycin 1% Topical Solution (Dalacin T),4
289,Clindamycin Caps/Inj,10
291,Clobazam Tablets,7
292,Clobetasol 0.05% Cream (Dermovate),8
294,Clofazimine Capsules,2
297,Clomipramine Capsules,2
298,Clonazepam Tablets,33
299,Clonidine Tablets,35
300,Clopidogrel Tablets,993
301,Clotrimazole 1% Cream,3
304,Clotrimazole Pessaries,1
305,Clozapine Tablets,3
307,Co-Amilofruse 5/40 Tablets,8
1698,Co-Amilozide 2.5/25,2
308,Co-Amilozide 5/50 Tablets,1
309,Co-Amoxiclav Inj/Tabs,109
310,Co-Beneldopa Capsules (Madopar),5
313,Co-Careldopa Tablets (Sinemet),23
1407,Co-codamol,94
320,Co-Dydramol Tablets,19
1848,co-proxamol,2
334,Co-Tenidone Tablets,2
335,Co-Triamterzide Tablets,1
1552,Co-trimoxazole  tablets,548
1486,Co-trimoxazole cream,2
1551,Co-trimoxazole tablets,1
1598,CoAprovel,2
10009,CoAprovel 150mg/12.5mg (Irbesartan with Hydrochlorothiazide),4
3006,Cobicistat Tablets,2
1543,Cocodamol,33
315,Cod Liver Oil Capsules,6
318,Codeine Linctus Bp,3
319,Codeine Phosphate Tabs/Inj,84
2192,Coenzyme Q10,1
322,Colchicine Tablets,187
2054,Colecalciferol (Vitamin D),605
2002,Colesevelam hydrochloride,6
1652,Colomycin,4
328,Combivir Tablets,1
1939,Combodart,4
333,Cosopt Eye Drops,9
336,Cotrimoxazole (Dye Free) Tablets,316
10032,covid-19 Oxford/AZ vaccine,3
2108,Cranberry Tablets,4
337,Creon Capsules,8
340,Cyanocobalamin,100
341,Cyclizine Tabs/Inj,56
344,Cyclo-Progynova Tablets,1
342,Cyclopentolate Eye Drops,2
3041,Cyclophosphamide,673
343,Cyclophosphamide Tabs/Inj,6
1634,Cyclosporin,21
347,Cyproterone Tablets,1
2176,Dabapoeitin Alfa,6
2274,Dabigatran etexilate capsules,3
353,Daktacort Cream,3
1864,Dalteparin(Fragmin),3
2200,Dapagliflozin,410
3020,Daprodustat / Placebo tablets (ASCEND trial),1
357,Dapsone Tablets,2
1547,Daptomycin,3
10035,Daratumumab,1
1536,Darifenacin,2
1566,Darunavir,34
2264,Darunavir / Cobicistat Tablet,1
2243,Deferiprone (iron chelator) Tablets / Liquid,4
1932,Degarelix Injection,7
3013,Degludec Insulin U200 (Tresiba),88
1961,Denosumab (Prolia) Injection,8
1564,Depo-Provera,2
1711,Depomedrone,9
368,Dermol 500 Lotion,16
369,Dermovate-Nn Cream,7
2232,Descovy (emtricitabine and tenofovir alafenamide) ,19
370,Desferrioxamine Injection,12
1477,Desloratidine,5
374,Desmopressin Nasal Solution,2
375,Desmopressin Tablets,8
2150,Desogestrel,46
2238,Desunin ,3
1529,detrusitol,1
376,Dexamethasone 0.1% Eye Drops,9
