"category","name","save_pdf_to_electronic_public_register","event_class_name","external_document_type_code","external_document_type_description"
"General","A&E assessment - Anaesthetic Review",false,,,
"Access","Access - Anaesthetic Review",false,,,
"Access","Access - Assessment",false,,,
"Access","Access - Clinic",false,,,
"Access","Access - Clinic Review",false,,,
"Access","Access - Comment / Others",false,,,
"Access","Access - MDT",false,,,
"Access","Access - Surgery",false,,,
"General","Anaesthetic assessment - Anaesthetic Review",false,,,
"Biopsy","Biopsy - Comment / Others",false,,,
"Biopsy","Biopsy - MDT",false,,,
"Clinic","Clinic - AKI",false,,,
"Clinic","Clinic - Clinic",false,,,
"Clinic","Clinic - General Nephrology",false,,,
"Clinic","Clinic - HD",false,,,
"Clinic","Clinic - HomeHD",false,,,
"Clinic","Clinic - Joint clinic",false,,,
"Clinic","Clinic - Live Donor Assessment",false,,,
"Clinic","Clinic - Live Donor FU",false,,,
"Clinic","Clinic - Advanced Kidney Care",false,,,
"Clinic","Clinic - Misc / Others",false,,,
"Clinic","Clinic - PD",false,,,
"HD","HD - MDT",true,,"MDT","MDT meeting notes"
"Research","Dental Study",false,"Renalware::Research::StudyEvent",,
"Research","Foot Study",false,"Renalware::Research::StudyEvent",,
